en_data,en_tokenized,en_idized,en_len,ref0,ref1,ref2,ref3,ref4,pred
"Situation in Japan , including the nuclear power plant alerts ( debate )","['situation', 'in', 'japan', ',', 'including', 'the', 'nuclear', 'power', 'plant', 'alerts', '(', 'debate', ')']","[1220, 12, 28527, 4, 254, 5, 2980, 424, 1777, 8188, 20, 1783, 18, 1]",14,Japan nuclear power plant alerts,Situation in Japan about nuclear power plants .,"Japan 's situation , including nuclear power plant alerts ( debate )",Japan nuclear power plant alerts,Situation in Japan including nuclear power plant alerts .,"japan , including the nuclear indications ( debate )"
"I would like to underline that the first message to come from the Council was one of solidarity , compassion and readiness to provide humanitarian as well as technical assistance .","['i', 'would', 'like', 'to', 'underline', 'that', 'the', 'first', 'message', 'to', 'come', 'from', 'the', 'council', 'was', 'one', 'of', 'solidarity', ',', 'compassion', 'and', 'readiness', 'to', 'provide', 'humanitarian', 'as', 'well', 'as', 'technical', 'assistance', '.']","[202, 75, 71, 8, 41063, 17, 5, 104, 1215, 8, 259, 37, 5, 4070, 26, 58, 9, 15229, 4, 9483, 7, 19434, 8, 427, 11834, 27, 135, 27, 2147, 2792, 6, 1]",32,"I would like to note the first message from the council was solidarity , compassion and readiness to provide humanitarian and technical assistance","The first message to come from the Council was one of solidarity , compassion and readiness to provide humanitarian as well as technical assistance .","The first message from the Council was one of solidarity , compassion and readiness to provide humanitarian and technical assistance .","I would like to note the first message from the council was solidarity , compassion and readiness to provide humanitarian and technical assistance",we are trying to provide humanitarian assistance,"i would like to emphasise that the first message from the council was solidarity , compassion and willingness to provide aid ."
Ministers already had a preliminary debate on the matter at the Ecofin breakfast on 15 March .,"['ministers', 'already', 'had', 'a', 'preliminary', 'debate', 'on', 'the', 'matter', 'at', 'the', 'ecofin', 'breakfast', 'on', '15', 'march', '.']","[10748, 405, 69, 10, 9054, 1783, 21, 5, 732, 29, 5, 100056, 1864, 21, 266, 8689, 6, 1]",18,Minister already debated on the matter .,Ministers had a preliminary debate on this at the Ecofin breakfast on 15 March .,Ministerial Preliminary debate on the matter was held at Ecofin breakfast on March 15,Minister already debated on the matter .,ministers had a debate on march 15th,the ministers have already had a preliminary debate on 15 march .
and I needed to get my passport and my suitcase .,"['and', 'i', 'needed', 'to', 'get', 'my', 'passport', 'and', 'my', 'suitcase', '.']","[7, 202, 647, 8, 95, 50, 10592, 7, 50, 19374, 6, 1]",12,and my passport and suitcase were essential .,and needed my passport and suitcase .,and my suitcase and passport were essential .,and my passport and suitcase were essential .,needed to get my passport,i need to obtain my trip .
Indirect criticism of the present is usually a key element in idealized views of the past .,"['indirect', 'criticism', 'of', 'the', 'present', 'is', 'usually', 'a', 'key', 'element', 'in', 'idealized', 'views', 'of', 'the', 'past', '.']","[12130, 5061, 9, 5, 665, 13, 775, 10, 864, 3007, 12, 46408, 1249, 9, 5, 490, 6, 1]",18,Current criticism is often a key factor in idealized views of the past .,Indirect criticism of the present is often key in idealized views of the past .,Indirect criticism of the present is a key element in idealized views of the past .,Current criticism is often a key factor in idealized views of the past .,Present criticism results in past idealism .,the critical criticisms of this present are often a key element .
"This economicalignment , known as ‘ convergence ’ , is yet another step on the road to closer EU integration .","['this', 'economicalignment', ',', 'known', 'as', '‘', 'convergence', '’', ',', 'is', 'yet', 'another', 'step', 'on', 'the', 'road', 'to', 'closer', 'eu', 'integration', '.']","[35, 2, 4, 432, 27, 352, 20609, 31, 4, 13, 467, 241, 1050, 21, 5, 953, 8, 2671, 30998, 5167, 6, 1]",22,Convergence is needed for closer EU integration .,Economic convergence improves EU integration .,Economic alignment is another step to closer EU integration,Convergence is needed for closer EU integration .,"this economical alignment , known as "" convergence "" , is yet another step on the road to closer EU",this is a further step forward towards the closer integration of the eu .
"I hope that these reactions , which are appropriate for the tragedy that has taken place , will set a precedent , and that in other cases of flagrant breaches of human rights , the European Union will have the courage to act just as promptly .","['i', 'hope', 'that', 'these', 'reactions', ',', 'which', 'are', 'appropriate', 'for', 'the', 'tragedy', 'that', 'has', 'taken', 'place', ',', 'will', 'set', 'a', 'precedent', ',', 'and', 'that', 'in', 'other', 'cases', 'of', 'flagrant', 'breaches', 'of', 'human', 'rights', ',', 'the', 'european', 'union', 'will', 'have', 'the', 'courage', 'to', 'act', 'just', 'as', 'promptly', '.']","[202, 559, 17, 130, 6711, 4, 63, 28, 1723, 16, 5, 8219, 17, 51, 629, 201, 4, 48, 270, 10, 14350, 4, 7, 17, 12, 90, 1107, 9, 53709, 23370, 9, 676, 861, 4, 5, 30493, 3863, 48, 36, 5, 7062, 8, 1423, 81, 27, 9015, 6, 1]",48,"I believe that these reactions will set a precedent and in cases of flagrant breaches of human rights ,   the EU will act promptly","I hope that these reactions will set a precedent ,   so that in cases of breaches of human rights , the European Union will act just as promptly .","I hope tat these reactions will set a precedent in other cases of flagrant breaches of human rights , the European Union will act just as promptly .","I believe that these reactions will set a precedent and in cases of flagrant breaches of human rights ,   the EU will act promptly",the courage to act just as promptly,"i hope that these reactions , which are appropriate for the tragedy , will establish a precedent , and that in other cases of flagrant violations of human rights , the eu ."
"Helping border guards , police and customs officers to protect external Schengen borders , prevent and detect crime and locate missing persons","['helping', 'border', 'guards', ',', 'police', 'and', 'customs', 'officers', 'to', 'protect', 'external', 'schengen', 'borders', ',', 'prevent', 'and', 'detect', 'crime', 'and', 'locate', 'missing', 'persons']","[1861, 2986, 8804, 4, 1022, 7, 9610, 2802, 8, 1770, 2930, 100071, 7149, 4, 1901, 7, 7126, 2482, 7, 7078, 1926, 3230, 1]",23,"Helping border guards , police and customs officers protects Shengen borders , prevents crime and locates missing persons .","helping border guards and police to protect external Schengen borders , prevent and detect crime and locate missing persons","assist border guards , customs officers , protect the borders of Schengen , prevent and detect crimes and track missing persons","Helping border guards , police and customs officers protects Shengen borders , prevents crime and locates missing persons .",helping relevant authorities to protect external Schengen borders,"police and customs agents , to protect external external borders , prevent and detect ."
This is a situation that few people in rich countries face,"['this', 'is', 'a', 'situation', 'that', 'few', 'people', 'in', 'rich', 'countries', 'face']","[35, 13, 10, 1220, 17, 215, 107, 12, 1914, 1094, 670, 1]",12,Few people in rich countries will face this,This is a situation few face in rich countries,Rich countries do not face this problem,Few people in rich countries will face this,This is a situation that few people faces,it is a situation of situation .
I stopped engaging in clubs and leadership activities .,"['i', 'stopped', 'engaging', 'in', 'clubs', 'and', 'leadership', 'activities', '.']","[202, 2241, 5199, 12, 4236, 7, 2446, 1089, 6, 1]",10,I dropped my clubs and leadership activities .,I stopped going to clubs and activities .,I stopped engaging in clubs,I dropped my clubs and leadership activities .,My participation in clubs ad leadership activities stopped .,i have started to work .
The notion that Americans have gotten better at everything while other rich countries have stood still is thus wildly misleading .,"['the', 'notion', 'that', 'americans', 'have', 'gotten', 'better', 'at', 'everything', 'while', 'other', 'rich', 'countries', 'have', 'stood', 'still', 'is', 'thus', 'wildly', 'misleading', '.']","[5, 6400, 17, 41028, 36, 3397, 244, 29, 479, 191, 90, 1914, 1094, 36, 3654, 181, 13, 1665, 14694, 10712, 6, 1]",22,The idea that America has improved at everything while other rich countries have stood still is false .,The notion that Americans have gotten better at everything while rich countries have stood still is misleading .,The idea that Americans have improved at everything while other rich countries have stagnated is wildly misleading .,The idea that America has improved at everything while other rich countries have stood still is false .,The notion that Americans have improved while other rick countries have not is misleading .,the concept that the americans have been able to see the other rich .
It is a goal that generations of Europeans have dreamed of and one worthy of the great effort needed to achieve it .,"['it', 'is', 'a', 'goal', 'that', 'generations', 'of', 'europeans', 'have', 'dreamed', 'of', 'and', 'one', 'worthy', 'of', 'the', 'great', 'effort', 'needed', 'to', 'achieve', 'it', '.']","[23, 13, 10, 1206, 17, 5544, 9, 100007, 36, 14139, 9, 7, 58, 5996, 9, 5, 162, 1479, 647, 8, 2326, 23, 6, 1]",24,European generations have dreamed of a goal and one worthy of the effort needed to achieve it .,It 's a goal that generations of Europeans have dreamed of and one worthy of the effort needed to achieve it .,Generations of Europeans dreamed of this goal worthy of the effort needed to achieve it .,European generations have dreamed of a goal and one worthy of the effort needed to achieve it .,this is the gal and great effort is needed to achieve it,it is a target that the generations of europeans have been dreaming for the future .
It is an opportune moment while much of the world s attention has been fixed on issues of energy supply and security hundreds of millions of people in the developing world continue to see the supply and security of fresh water as equally if more important,"['it', 'is', 'an', 'opportune', 'moment', 'while', 'much', 'of', 'the', 'world', 's', 'attention', 'has', 'been', 'fixed', 'on', 'issues', 'of', 'energy', 'supply', 'and', 'security', 'hundreds', 'of', 'millions', 'of', 'people', 'in', 'the', 'developing', 'world', 'continue', 'to', 'see', 'the', 'supply', 'and', 'security', 'of', 'fresh', 'water', 'as', 'equally', 'if', 'more', 'important']","[23, 13, 42, 60394, 1046, 191, 141, 9, 5, 213, 49, 1113, 51, 78, 2424, 21, 650, 9, 803, 1911, 7, 938, 2637, 9, 3037, 9, 107, 12, 5, 2281, 213, 865, 8, 124, 5, 1911, 7, 938, 9, 1407, 350, 27, 4341, 79, 57, 395, 1]",47,It 's a key moment while the world 's attention has been on energy and security the developing world continues to see fresh water supply as the key issue,The time is ripe as the world focuses on issues of energy supply and security millions of people in the developing world continue to see the supply and security of fresh water as equally if more important,"Now is the time as much of the world 's attention is focused on issues of energy supply and security , millions of people in the developing world continue to see fresh water supply and security as more important",It 's a key moment while the world 's attention has been on energy and security the developing world continues to see fresh water supply as the key issue,it is an opportune moment while much of the worlds attention has been fixed on issues of energy apply and security of hundreds of millions of people in the developing world continue to see the supply of fresh water is more important,"it is timely , while the world 's attention to the energy supply and safety of hundreds of millions of people in the developing world continue to see the supply supply ."
The reason is simple .,"['the', 'reason', 'is', 'simple', '.']","[5, 605, 13, 733, 6, 1]",6,The reason is simple .,"Why , is simple .",The reason ?,The reason is simple .,is simple,the reason .
The conscious experience of pain involves emotion and cognition as well as sensation,"['the', 'conscious', 'experience', 'of', 'pain', 'involves', 'emotion', 'and', 'cognition', 'as', 'well', 'as', 'sensation']","[5, 7986, 347, 9, 1355, 4209, 8148, 7, 26560, 27, 135, 27, 10846, 1]",14,"Pain involves emotion , cognition , and sensation .",The conscious experience of pain is emotion and cognition as well as sensation,"The conscious experience of pain involves emotion , cognition and sensation","Pain involves emotion , cognition , and sensation .",the conscious experience of pain involves emotion and cognition as well,the knowledge of pain and conscience and conscience .
"However , EMU is not a one - off event – it is work in progress by the euro - area members , who co - operate oneconomic policy .","['however', ',', 'emu', 'is', 'not', 'a', 'one', '-', 'off', 'event', '–', 'it', 'is', 'work', 'in', 'progress', 'by', 'the', 'euro', '-', 'area', 'members', ',', 'who', 'co', '-', 'operate', 'oneconomic', 'policy', '.']","[675, 4, 77210, 13, 40, 10, 58, 47, 183, 616, 93, 23, 13, 136, 12, 2210, 33, 5, 12265, 47, 291, 551, 4, 70, 13219, 47, 3875, 2, 913, 6, 1]",31,EMU is a constant process by the euro - area members,"However , EMU is not a one - off - event- it 's work in progress by the euro - area members .",EMU is a work in progress .,EMU is a constant process by the euro - area members,The EMU continues to progress with members who utilize the Euro and policy consistency .,"however , emu is not a single event , but it is a work of the progress of the eurozone ."
Our services,"['our', 'services']","[74, 458, 1]",3,Services,our work,Services,Services,services,.
"The crisis , which originated in the financial system and has spread to the international economic system , has presented our societies with new questions and , at the same time , aggravated existing challenges , namely those relating to","['the', 'crisis', ',', 'which', 'originated', 'in', 'the', 'financial', 'system', 'and', 'has', 'spread', 'to', 'the', 'international', 'economic', 'system', ',', 'has', 'presented', 'our', 'societies', 'with', 'new', 'questions', 'and', ',', 'at', 'the', 'same', 'time', ',', 'aggravated', 'existing', 'challenges', ',', 'namely', 'those', 'relating', 'to']","[5, 3129, 4, 63, 10768, 12, 5, 1025, 279, 7, 51, 2259, 8, 5, 1010, 1358, 279, 4, 51, 1713, 74, 9082, 22, 96, 672, 7, 4, 29, 5, 195, 77, 4, 22607, 1871, 2454, 4, 7325, 173, 4999, 8, 1]",41,"The crisis started in the ficial system , has spread to the international economic system , and has presented us with new questions while aggravating existing challenges , namely :",The ficial crisis spread internationally has presented new challenges .,"The crisis , originating in the ficial system and spreading worldwide , has presented our societies with new questions and aggravated existing challenges , such as","The crisis started in the ficial system , has spread to the international economic system , and has presented us with new questions while aggravating existing challenges , namely :","the crisis , which originated in the ficial system and has spread to the international economic system , has presented our societies with new questions and , at the same time , aggravated existing challenges .","the crisis , which is the financial system and widespread to the international economic system , has presented our societies new and , at the same time ."
Factsheet on Europol,"['factsheet', 'on', 'europol']","[2, 21, 100020, 1]",4,Fact sheet on Europol,Fact sheet on Europol,Fact sheet on Europol,Fact sheet on Europol,fact - sheet . on Europool,.
"the report by Karl von Wogau , on behalf of the Committee on Foreign Affairs , on the European Security Strategy and the European Security and Defence Policy ( ESDP ) , and","['the', 'report', 'by', 'karl', 'von', 'wogau', ',', 'on', 'behalf', 'of', 'the', 'committee', 'on', 'foreign', 'affairs', ',', 'on', 'the', 'european', 'security', 'strategy', 'and', 'the', 'european', 'security', 'and', 'defence', 'policy', '(', 'esdp', ')', ',', 'and']","[5, 609, 33, 101229, 5994, 100606, 4, 21, 4430, 9, 5, 3207, 21, 1971, 5790, 4, 21, 5, 30493, 938, 2206, 7, 5, 30493, 938, 7, 7589, 913, 20, 100312, 18, 4, 7, 1]",34,"The Committee on Foreign Affairs report , by Karl von Wogau on ESS and the ESDP","the report by von Wogau , on behalf of the Committee on Foreign Affairs , on the European Security Strategy and the European Security and Defence Policy ( ESDP ) , and",on behalf of the committee on foreign affairs,"The Committee on Foreign Affairs report , by Karl von Wogau on ESS and the ESDP",the report on European strategy security and edsp,the report by karl von wogau for the committee on foreign affairs and european security and defence policy ( esdp ) and .
our knowledge of how Earth fits within the context of our universe .,"['our', 'knowledge', 'of', 'how', 'earth', 'fits', 'within', 'the', 'context', 'of', 'our', 'universe', '.']","[74, 1074, 9, 115, 2381, 4312, 325, 5, 2503, 9, 74, 4098, 6, 1]",14,our knowledge of how Earth fits in the context of our universe .,our knowledge of how Earth fits within the our universe .,our knowledge of how Earth fits in the universe .,our knowledge of how Earth fits in the context of our universe .,our knowledge of how Earth fits within the universe,we know how we are in our universe .
your physician has some confidence that this is going to work .,"['your', 'physician', 'has', 'some', 'confidence', 'that', 'this', 'is', 'going', 'to', 'work', '.']","[41, 5764, 51, 89, 2909, 17, 35, 13, 186, 8, 136, 6, 1]",13,Your physician is confident this will work .,your doctor is confident this will work .,your doctor believes it will work .,Your physician is confident this will work .,your physician has some confidence that this will work,his doctor has confidence of his confidence .
Our annual report on the common foreign and security policy ( CFSP ) has become an important vehicle through which Parliament expresses its strategic view on EU foreign policy .,"['our', 'annual', 'report', 'on', 'the', 'common', 'foreign', 'and', 'security', 'policy', '(', 'cfsp', ')', 'has', 'become', 'an', 'important', 'vehicle', 'through', 'which', 'parliament', 'expresses', 'its', 'strategic', 'view', 'on', 'eu', 'foreign', 'policy', '.']","[74, 1608, 609, 21, 5, 785, 1971, 7, 938, 913, 20, 100310, 18, 51, 477, 42, 395, 1464, 148, 63, 9331, 16164, 106, 4385, 515, 21, 30998, 1971, 913, 6, 1]",31,The CFSP annual report is an integral tool for Parliament 's strategy on EU foreign policy .,common security foreign and security policy(CFSP )   has become an important vehicle,The annual report on common foreign and security policy ( CFSP ) has become an important vehicle for Parliament to express its strategic view on EU foreign policy .,The CFSP annual report is an integral tool for Parliament 's strategy on EU foreign policy .,our report of cfsp has been important to express strategies,our annual report on foreign and security policy ( cfsp ) has become an important tool for the european union .
"Through A Programme for Europe : proposals of civil society , the Committee presents the institutions with a set of measures and actions which Europe must undertake in order to support progress - oriented and sustainable economic and social recovery .","['through', 'a', 'programme', 'for', 'europe', ':', 'proposals', 'of', 'civil', 'society', ',', 'the', 'committee', 'presents', 'the', 'institutions', 'with', 'a', 'set', 'of', 'measures', 'and', 'actions', 'which', 'europe', 'must', 'undertake', 'in', 'order', 'to', 'support', 'progress', '-', 'oriented', 'and', 'sustainable', 'economic', 'and', 'social', 'recovery', '.']","[148, 10, 4224, 16, 28694, 14, 7099, 9, 2592, 1604, 4, 5, 3207, 3686, 5, 3331, 22, 10, 270, 9, 2741, 7, 1919, 63, 28694, 286, 12980, 12, 354, 8, 343, 2210, 47, 10224, 7, 5033, 1358, 7, 624, 3132, 6, 1]",42,"Through A Programme for Europe : proposals of civil society , measures for economic recovery are presented .","Through A Programme for Europe : proposals of civil society , the Committee presents the institutions with measures and actions which Europe must undertake in order to support a sustainable economic and social recovery .","Through A Programme for Europe : proposals of civil society , the Committee presents a set of measures and actions that Europe must undertake to support progress - oriented and sustainable economic and social recovery .","Through A Programme for Europe : proposals of civil society , measures for economic recovery are presented .","Through this program , the Committee presents the institutions with a set of measures and actions which Europe must undertake in order to support progress - oriented and sustainable economic and social recovery .","through a programme for europe : proposals of civil society , the commission is presenting a series of measures and actions that europe must take to promote economic and sustainable recovery recovery . as sustainable . as sustainable and sustainable . eu citizens are welcome to support for education and energy . as such as follows all follows all the other that are not so long as the environment is so important and that means that not so ago as we are"
It appoints the Director and the Deputy Directors and approves the budget .,"['it', 'appoints', 'the', 'director', 'and', 'the', 'deputy', 'directors', 'and', 'approves', 'the', 'budget', '.']","[23, 33362, 5, 1397, 7, 5, 8594, 5717, 7, 24681, 5, 1787, 6, 1]",14,It appoints the Director and Deputy Directors and approves the budget .,JHA appoints the Director / Deputy Directors and approves the budget .,It appoints the Director and Deputy Directors and approves the budget .,It appoints the Director and Deputy Directors and approves the budget .,it appoints the director and the deputy directors and agree the budget,mr barroso and the council and the budget .
"For the first time in its history , the European Economic and Social Committee is to adopt a comprehensive , detailed and timely document on the ongoing political debate and the urgent and concrete problems facing Europe - A programme for Europe : proposals of civil society .","['for', 'the', 'first', 'time', 'in', 'its', 'history', ',', 'the', 'european', 'economic', 'and', 'social', 'committee', 'is', 'to', 'adopt', 'a', 'comprehensive', ',', 'detailed', 'and', 'timely', 'document', 'on', 'the', 'ongoing', 'political', 'debate', 'and', 'the', 'urgent', 'and', 'concrete', 'problems', 'facing', 'europe', '-', 'a', 'programme', 'for', 'europe', ':', 'proposals', 'of', 'civil', 'society', '.']","[16, 5, 104, 77, 12, 106, 504, 4, 5, 30493, 1358, 7, 624, 3207, 13, 8, 7287, 10, 3188, 4, 2401, 7, 6857, 2418, 21, 5, 3873, 873, 1783, 7, 5, 10747, 7, 4427, 747, 3247, 28694, 47, 10, 4224, 16, 28694, 14, 7099, 9, 2592, 1604, 6, 1]",49,"For the first time in its history , the EU Economic and Social Committee is to adopt a comprehensive , detailed and timely document on the ongoing political debate and the urgent and concrete problems facing Europe- A programme for EU : proposals of civil society",The European Economic and Social Committee adopted a document on the proposals for a civil society .,The European Economic and Social Committee   is adopting a comprehensive and timely document of the ongoing political debate and the problems facing Europe for the first time - A programme for Europe : proposals of civil society .,"For the first time in its history , the EU Economic and Social Committee is to adopt a comprehensive , detailed and timely document on the ongoing political debate and the urgent and concrete problems facing Europe- A programme for EU : proposals of civil society",The European Economic and Social Committee will adopt a document on the problems facing Europe .,"for the first time in its history , the european economic and social committee is to adopt a comprehensive , detailed and timely document on the permanent political debate and urgent and concrete ."
"Injury messages it seems , travel to many brain structures not just to sensation - generating areas","['injury', 'messages', 'it', 'seems', ',', 'travel', 'to', 'many', 'brain', 'structures', 'not', 'just', 'to', 'sensation', '-', 'generating', 'areas']","[2434, 3027, 23, 565, 4, 1008, 8, 143, 1977, 3787, 40, 81, 8, 10846, 47, 7540, 771, 1]",18,Injury messages seems to travel to many brain structures,Injury signals travel to areas other than sensation - generation .,Injury messages travel to many brain structures,Injury messages seems to travel to many brain structures,"injury messages it seems , travel to many brain structures not just sensation - generating areas",not only not only convergence areas but only not only convergence .
"This is why I am pleased that at least the European Parliament , speaking on behalf of the citizens who sent us here , has an appropriate reaction and the resolution we will vote on today appropriately addresses it .","['this', 'is', 'why', 'i', 'am', 'pleased', 'that', 'at', 'least', 'the', 'european', 'parliament', ',', 'speaking', 'on', 'behalf', 'of', 'the', 'citizens', 'who', 'sent', 'us', 'here', ',', 'has', 'an', 'appropriate', 'reaction', 'and', 'the', 'resolution', 'we', 'will', 'vote', 'on', 'today', 'appropriately', 'addresses', 'it', '.']","[35, 13, 318, 202, 149, 3266, 17, 29, 388, 5, 30493, 9331, 4, 2683, 21, 4430, 9, 5, 2878, 70, 1004, 138, 152, 4, 51, 42, 1723, 3147, 7, 5, 2881, 53, 48, 1276, 21, 323, 10721, 4117, 23, 6, 1]",41,"Hence , I am pleased that the European Parliament has an appropriate reaction and resolution to address it .","This is why I am pleased that the European Parliament has an appropriate reaction , and the resolution we will vote on today will address it .",The European Parliament has an appropriate reaction and the resolution we will vote on today appropriately addresses it .,"Hence , I am pleased that the European Parliament has an appropriate reaction and resolution to address it .",reaction and the resolution,"i am therefore delighted that at least the european parliament , on behalf of the citizens who sent us , is appropriate and the resolution we are ."
Rich industrial countries have invested early and heavily in water infrastructure institutions management capacities,"['rich', 'industrial', 'countries', 'have', 'invested', 'early', 'and', 'heavily', 'in', 'water', 'infrastructure', 'institutions', 'management', 'capacities']","[1914, 3275, 1094, 36, 8140, 488, 7, 4361, 12, 350, 3681, 3331, 895, 17427, 1]",15,Rich industrial countries have invested early and heavily in water infrastructure,Rich industrial nations have invested early and heavily in water infrastructure institutions management capacities,Rich industrial lands have invested much early on in water infrastructure management,Rich industrial countries have invested early and heavily in water infrastructure,These rich countries have made investments in the necessary infrastructure for water .,rich industrial countries have invested in large quantities .
"it 's much cheaper although forbidden , to use the old equipment refill them with CFC 's when needed than to buy new machines use the more environmentally benign more costly alternatives .","['it', ""'s"", 'much', 'cheaper', 'although', 'forbidden', ',', 'to', 'use', 'the', 'old', 'equipment', 'refill', 'them', 'with', 'cfc', ""'s"", 'when', 'needed', 'than', 'to', 'buy', 'new', 'machines', 'use', 'the', 'more', 'environmentally', 'benign', 'more', 'costly', 'alternatives', '.']","[23, 34, 141, 4982, 988, 13020, 4, 8, 133, 5, 313, 1482, 24459, 92, 22, 2, 34, 82, 647, 100, 8, 631, 96, 3849, 133, 5, 57, 14266, 19865, 57, 9650, 7763, 6, 1]",34,I use the old equipment refill them with CFC 's when needed,"It 's much cheaper , although forbidden , to use the old equipment than to buy new machines and use the more environmentally benign , pricey alternatives .","It 's much cheaper although forbidden , to use the old equipment refill them with CFC 's when needed than to buy new machines use the more benign more costly alternatives .",I use the old equipment refill them with CFC 's when needed,Its cheaper to use the old equipment and refill them with CFC 's than buy new machines that use the more environmentally friendly substitute .,"the UNK and more expensive alternatives of the older people , more expensive , more expensive than the more expensive alternative alternatives ."
January 2004 — EN,"['january', '2004', '—', 'en']","[43451, 1057, 179, 1935, 1]",5,"Jan. "" 04""-EN",January 2004 — EN,January 2004 - EN,"Jan. "" 04""-EN",January 2004 — EN,january 2004
"I would like to stress the fact that the Hungarian Presidency acted without delay , taking into account the gravity of the events and the possible effects in Europe , especially regarding the nuclear risk .","['i', 'would', 'like', 'to', 'stress', 'the', 'fact', 'that', 'the', 'hungarian', 'presidency', 'acted', 'without', 'delay', ',', 'taking', 'into', 'account', 'the', 'gravity', 'of', 'the', 'events', 'and', 'the', 'possible', 'effects', 'in', 'europe', ',', 'especially', 'regarding', 'the', 'nuclear', 'risk', '.']","[202, 75, 71, 8, 2537, 5, 465, 17, 5, 100112, 11735, 7557, 260, 4785, 4, 595, 97, 796, 5, 8905, 9, 5, 788, 7, 5, 489, 1301, 12, 28694, 4, 620, 1711, 5, 2980, 1060, 6, 1]",37,"In addition , the Hungarian Presidency acted swiftly , taking into account the preponderance of the nuclear risk",The Hungarian Presidency acting swiftly to the disaster .,"The Hungarian Presidency acted without delay , taking into account the gravity and possible effects in Europe , especially regarding the nuclear risk .","In addition , the Hungarian Presidency acted swiftly , taking into account the preponderance of the nuclear risk",wee taken into consideration the possible effects regarding nuclear risk,"i would like to emphasise that the hungarian presidency has acted without delay , taking into account the severity of events and possible effects ."
The Great Man Syndrome .,"['the', 'great', 'man', 'syndrome', '.']","[5, 162, 392, 7113, 6, 1]",6,Great Man Syndrome .,The Great Man Syndrome .,The Great Man Syndrome .,Great Man Syndrome .,The Great Man Syndrome .,the disease .
Individual Member States have also been prepared to make very generous offers of assistance .,"['individual', 'member', 'states', 'have', 'also', 'been', 'prepared', 'to', 'make', 'very', 'generous', 'offers', 'of', 'assistance', '.']","[963, 682, 1185, 36, 80, 78, 2132, 8, 116, 110, 5710, 702, 9, 2792, 6, 1]",16,Assistance has been offered by Individual Member States .,Individual Member states are prepared to offer generous assistance,Individual Member States have been prepared to make offers of assistance .,Assistance has been offered by Individual Member States .,member states are also providing assistance,member states are prepared to make very generous offers .
The shipments caught by customs authorities mostly originate from free industrial zones also called export - processing zones in China Vietnam Thailand Egypt .,"['the', 'shipments', 'caught', 'by', 'customs', 'authorities', 'mostly', 'originate', 'from', 'free', 'industrial', 'zones', 'also', 'called', 'export', '-', 'processing', 'zones', 'in', 'china', 'vietnam', 'thailand', 'egypt', '.']","[5, 15754, 2146, 33, 9610, 3375, 1613, 21258, 37, 248, 3275, 8820, 80, 372, 7082, 47, 2755, 8820, 12, 14120, 86086, 72010, 80560, 6, 1]",25,"Shipments caught by customs authorities mostly come from free industrial zones in China , Vietnam , Thailand , and Egypt .","The shipments caught by customs authorities mostly originate from free industrial zones also called export - processing zones in China , Vietnam , Thailand and Egypt .","Shipments mainly originate from free industrial , export - processing zones such as China , Vietnam , Thailand and Egypt .","Shipments caught by customs authorities mostly come from free industrial zones in China , Vietnam , Thailand , and Egypt .",mostly originate from free industrial zones also called export - processing zones,inspections that customs authorities have been from customs authorities are only free of free industrial areas .
"I realized something about myself that actually was somewhat unique ,","['i', 'realized', 'something', 'about', 'myself', 'that', 'actually', 'was', 'somewhat', 'unique', ',']","[202, 2908, 227, 59, 740, 17, 404, 26, 2886, 984, 4, 1]",12,"I realised something about me that actually was unique ,",I realized something about myself that was unique,"I realized my own uniqueness ,","I realised something about me that actually was unique ,","There 's something unique about myself , I just realized .",i think something like it strange .
How it that people with little or no medical explanation for a persistent pain become partially totally disabled by it even with extensive and resourceful treatment,"['how', 'it', 'that', 'people', 'with', 'little', 'or', 'no', 'medical', 'explanation', 'for', 'a', 'persistent', 'pain', 'become', 'partially', 'totally', 'disabled', 'by', 'it', 'even', 'with', 'extensive', 'and', 'resourceful', 'treatment']","[115, 23, 17, 107, 22, 205, 38, 102, 997, 4129, 16, 10, 10628, 1355, 477, 6497, 1759, 5239, 33, 23, 146, 22, 3098, 7, 35057, 1043, 1]",27,Reason why people with less explanation for continuous pain become partly disabled by it even with treatment,"Why people with little or no medical explanation for persistent pain become partially totally disabled by it , even with extensive treatment and resources",Why do some people suffer intense pain with no real reason ?,Reason why people with less explanation for continuous pain become partly disabled by it even with treatment,how is that people with no medical explanation for a persistent pain become partially or disabled by it even with treatment,"as we can say , there is a constant increase in the treatment of the medical profession ."
It is also important to mention that the Council will need to follow up on the macroeconomic impact of the Japanese crisis .,"['it', 'is', 'also', 'important', 'to', 'mention', 'that', 'the', 'council', 'will', 'need', 'to', 'follow', 'up', 'on', 'the', 'macroeconomic', 'impact', 'of', 'the', 'japanese', 'crisis', '.']","[23, 13, 80, 395, 8, 1835, 17, 5, 4070, 48, 161, 8, 998, 66, 21, 5, 37850, 1365, 9, 5, 16010, 3129, 6, 1]",24,"Importantly , the council will follow up the macroeconomic impact of this crisis",The Council will need to follow up on the macroeconomic impact of the Japanese crisis .,The Council will need to follow up on the macroeconomic impact of the Japanese crisis .,"Importantly , the council will follow up the macroeconomic impact of this crisis",we will need to follow up with Japan,it is equally important to recall that the council will have to follow the crisis .
